"","Credit_Limit","Income_Category","Customer_Age","Total_Trans_Ct","Months_on_book","Gender","Education_Level","Marital_Status"
"147",2250,"Less than $40K",41,31,32,"F","Graduate","Single"
"148",10916,"$120K +",55,34,50,"M","Graduate","Married"
"150",9366,"$80K - $120K",41,39,24,"M","High School","Married"
"151",21617,"$80K - $120K",40,22,28,"M","High School","Single"
"153",18386,"$40K - $60K",50,22,31,"F","Graduate","Single"
"154",2405,"$60K - $80K",47,29,41,"M","Uneducated","Single"
"155",2154,"Less than $40K",53,26,47,"F","College","Married"
"157",8135,"$40K - $60K",48,29,38,"F","High School","Single"
"158",9364,"$120K +",49,27,38,"M","Doctorate","Married"
"160",3195,"Less than $40K",43,29,34,"F","Graduate","Divorced"
"161",2852,"$80K - $120K",56,28,43,"M","High School","Married"
"163",20459,"$60K - $80K",46,38,36,"M","Uneducated","Married"
"165",3065,"$40K - $60K",50,28,40,"F","Uneducated","Married"
"166",2185,"Less than $40K",51,30,43,"F","Uneducated","Married"
"167",1611,"Less than $40K",47,29,36,"F","Uneducated","Married"
"168",2822,"Less than $40K",58,23,47,"F","Uneducated","Married"
"170",1438.3,"$60K - $80K",53,53,47,"M","High School","Married"
"172",6703,"Less than $40K",52,28,45,"F","High School","Married"
"174",34516,"$80K - $120K",50,34,45,"M","High School","Married"
"175",9797,"$40K - $60K",41,34,36,"F","High School","Married"
"176",10400,"$40K - $60K",45,28,36,"F","Graduate","Divorced"
"177",26792,"$80K - $120K",53,47,42,"M","Uneducated","Married"
"178",3006,"Less than $40K",67,32,56,"F","Graduate","Married"
"179",19482,"$40K - $60K",57,22,36,"F","Uneducated","Single"
"180",3356,"$40K - $60K",59,28,36,"F","Uneducated","Married"
"181",5771,"$40K - $60K",45,18,34,"M","Uneducated","Married"
"182",11106,"$80K - $120K",51,24,36,"M","Graduate","Married"
"183",2890,"Less than $40K",59,36,54,"F","Uneducated","Married"
"184",3380,"$60K - $80K",53,25,45,"M","Graduate","Married"
"185",21331,"$60K - $80K",47,50,36,"M","Graduate","Married"
"187",6278,"$80K - $120K",49,33,33,"M","Post-Graduate","Single"
"188",1438.3,"Less than $40K",60,33,55,"F","College","Single"
"189",9355,"Less than $40K",50,28,36,"F","High School","Married"
"191",14612,"$80K - $120K",57,24,47,"M","Graduate","Married"
"193",6347,"Less than $40K",57,37,47,"F","Graduate","Married"
"194",21592,"$120K +",54,52,41,"M","Doctorate","Married"
"195",3449,"Less than $40K",51,42,44,"F","Post-Graduate","Married"
"196",6028,"Less than $40K",47,22,34,"F","High School","Married"
"198",16393,"$80K - $120K",53,42,43,"M","Uneducated","Married"
"200",7871,"$60K - $80K",59,22,36,"M","College","Married"
"202",11376,"$60K - $80K",44,27,32,"M","Graduate","Married"
"203",12302,"$80K - $120K",48,41,41,"M","College","Married"
"204",34516,"$60K - $80K",47,27,33,"M","Graduate","Married"
"205",34516,"$60K - $80K",47,32,32,"M","Graduate","Married"
"206",10514,"Less than $40K",43,27,35,"F","High School","Divorced"
"209",2619,"$40K - $60K",63,37,56,"M","Graduate","Married"
"210",24407,"$120K +",58,48,53,"M","College","Married"
"211",2377,"Less than $40K",53,26,36,"F","High School","Married"
"213",11086,"$120K +",52,40,47,"M","Graduate","Married"
"214",11432,"$60K - $80K",48,37,36,"M","High School","Single"
"215",13258,"$40K - $60K",43,21,36,"M","High School","Married"
"216",2571,"Less than $40K",48,24,36,"M","College","Single"
"217",5781,"Less than $40K",43,32,31,"F","Graduate","Single"
"219",34516,"$80K - $120K",41,33,35,"M","High School","Married"
"220",11127,"Less than $40K",44,25,38,"F","Uneducated","Divorced"
"222",1913,"Less than $40K",60,22,36,"F","Uneducated","Married"
"223",3839,"$80K - $120K",44,24,24,"M","Graduate","Single"
"224",2115,"$40K - $60K",48,20,39,"F","Graduate","Divorced"
"225",1438.3,"Less than $40K",44,29,27,"F","Graduate","Divorced"
"226",27756,"$80K - $120K",41,24,28,"M","High School","Single"
"227",1438.3,"$60K - $80K",45,26,32,"M","College","Single"
"228",13878,"Less than $40K",47,38,34,"F","Uneducated","Divorced"
"229",3106,"Less than $40K",51,38,36,"F","Graduate","Married"
"230",34516,"$120K +",51,18,44,"M","Graduate","Married"
"233",5207,"$120K +",41,26,29,"M","Graduate","Single"
"234",17965,"$80K - $120K",44,50,36,"M","Post-Graduate","Divorced"
"235",2733,"$60K - $80K",43,25,37,"M","College","Single"
"236",8863,"$60K - $80K",55,27,48,"M","College","Married"
"239",11107,"$40K - $60K",41,33,30,"M","Uneducated","Married"
"242",5269,"$80K - $120K",39,25,36,"M","High School","Single"
"245",1982,"$80K - $120K",54,49,46,"M","Graduate","Married"
"246",4645,"$80K - $120K",49,33,43,"M","Uneducated","Single"
"249",21304,"$60K - $80K",47,25,38,"M","Graduate","Married"
"250",7577,"$60K - $80K",44,35,36,"M","Doctorate","Single"
"251",3234,"$120K +",50,28,31,"M","Post-Graduate","Single"
"252",4469,"$40K - $60K",73,34,36,"M","High School","Married"
"255",3252,"Less than $40K",70,15,56,"M","High School","Married"
"256",2358,"Less than $40K",55,26,36,"F","High School","Married"
"258",3133,"$120K +",45,38,39,"M","Uneducated","Single"
"259",3540,"$40K - $60K",45,28,35,"F","Uneducated","Single"
"260",6990,"$40K - $60K",40,29,23,"M","Graduate","Married"
"265",5214,"$40K - $60K",41,23,32,"M","Uneducated","Married"
"266",5207,"Less than $40K",51,20,46,"F","Graduate","Married"
"270",2290,"$60K - $80K",54,18,38,"M","Graduate","Married"
"272",23603,"$60K - $80K",40,31,29,"M","Uneducated","Divorced"
"273",2601,"$40K - $60K",57,32,45,"M","Uneducated","Married"
"274",6363,"$80K - $120K",45,16,40,"M","Graduate","Single"
"275",8029,"$80K - $120K",41,32,36,"M","High School","Single"
"276",2410,"Less than $40K",42,30,31,"F","Uneducated","Married"
"278",2260,"Less than $40K",42,33,23,"F","Uneducated","Married"
"279",17682,"$80K - $120K",47,31,30,"M","Uneducated","Divorced"
"280",4206,"$40K - $60K",48,22,42,"F","High School","Married"
"281",34516,"$80K - $120K",43,34,37,"M","Graduate","Single"
"283",5556,"$40K - $60K",54,21,44,"F","Uneducated","Married"
"285",2939,"$40K - $60K",61,33,52,"M","Graduate","Married"
"286",5362,"$80K - $120K",61,41,48,"M","Uneducated","Married"
"288",3342,"Less than $40K",45,30,36,"F","Graduate","Single"
"291",14546,"$60K - $80K",44,27,37,"M","Graduate","Single"
"293",16427,"$60K - $80K",55,36,36,"M","Doctorate","Married"
"295",23218,"$60K - $80K",45,37,33,"M","College","Single"
"296",3281,"$40K - $60K",60,29,36,"M","High School","Married"
"297",3096,"$40K - $60K",55,41,47,"M","High School","Married"
"298",2052,"$40K - $60K",62,31,52,"F","High School","Married"
"300",9432,"$40K - $60K",46,26,39,"M","High School","Single"
"301",14938,"$120K +",50,27,45,"M","High School","Single"
"302",2221,"$60K - $80K",45,30,36,"M","Uneducated","Married"
"303",5731,"$60K - $80K",47,26,37,"M","Post-Graduate","Divorced"
"304",34516,"$60K - $80K",48,32,33,"M","College","Married"
"305",6985,"$60K - $80K",35,44,22,"M","Uneducated","Married"
"306",24221,"$120K +",51,40,42,"M","Graduate","Married"
"308",21637,"$80K - $120K",47,23,36,"M","Graduate","Single"
"309",14543,"$120K +",52,37,37,"M","Graduate","Single"
"310",9684,"Less than $40K",43,31,36,"F","Uneducated","Married"
"311",5007,"$40K - $60K",63,28,36,"M","High School","Married"
"312",1616,"$60K - $80K",61,33,54,"M","Graduate","Married"
"313",19116,"$60K - $80K",53,29,40,"M","Uneducated","Single"
"314",2759,"Less than $40K",53,42,47,"F","Graduate","Married"
"317",5264,"$60K - $80K",53,27,43,"M","High School","Married"
"319",2826,"Less than $40K",49,28,43,"F","High School","Married"
"320",12518,"$80K - $120K",45,33,34,"M","High School","Married"
"321",5876,"$40K - $60K",67,55,56,"M","Graduate","Married"
"322",34516,"$80K - $120K",48,13,37,"M","Graduate","Single"
"323",9648,"Less than $40K",51,22,38,"F","Uneducated","Divorced"
"324",34516,"$80K - $120K",52,23,40,"M","High School","Single"
"326",3265,"$60K - $80K",34,35,26,"M","High School","Married"
"327",6041,"$120K +",56,49,36,"M","Uneducated","Married"
"328",2293,"Less than $40K",44,22,36,"F","Post-Graduate","Married"
"331",3378,"$40K - $60K",43,16,29,"F","Graduate","Single"
"332",5012,"Less than $40K",50,28,36,"F","Graduate","Single"
"333",2569,"Less than $40K",38,46,30,"F","Uneducated","Single"
"334",3471,"Less than $40K",53,24,45,"F","Graduate","Single"
"335",34516,"$120K +",43,38,31,"M","Graduate","Divorced"
"336",3312,"$120K +",53,32,36,"M","High School","Married"
"337",2578,"Less than $40K",56,29,38,"F","Graduate","Married"
"339",2742,"Less than $40K",57,32,39,"F","High School","Married"
"340",2077,"Less than $40K",62,38,53,"M","High School","Married"
"341",6265,"Less than $40K",46,43,40,"F","Graduate","Single"
"342",7819,"$60K - $80K",49,25,44,"M","Uneducated","Married"
"343",2731,"$80K - $120K",52,22,42,"M","Graduate","Single"
"345",16286,"$80K - $120K",54,49,36,"M","High School","Married"
"346",34516,"$120K +",49,31,39,"M","Graduate","Married"
"347",2609,"Less than $40K",58,34,47,"F","High School","Married"
"348",7567,"$60K - $80K",52,32,45,"M","High School","Single"
"349",22770,"$60K - $80K",41,38,33,"M","High School","Married"
"350",3791,"Less than $40K",62,34,50,"F","Uneducated","Married"
"351",2702,"Less than $40K",54,32,39,"M","Graduate","Married"
"352",2555,"Less than $40K",40,32,35,"F","High School","Divorced"
"353",2355,"$80K - $120K",43,29,26,"M","Graduate","Married"
"354",5332,"$40K - $60K",53,39,42,"F","Graduate","Single"
"355",1443,"$40K - $60K",55,38,49,"M","Uneducated","Single"
"356",10741,"$60K - $80K",46,22,39,"M","Graduate","Single"
"357",7984,"$60K - $80K",41,39,25,"M","Uneducated","Married"
"358",18584,"$60K - $80K",49,34,32,"M","Uneducated","Single"
"360",34516,"$80K - $120K",46,32,38,"M","Uneducated","Married"
"361",1438.3,"Less than $40K",50,41,43,"F","Uneducated","Married"
"362",2478,"$80K - $120K",40,31,24,"M","Graduate","Single"
"363",34516,"$120K +",51,47,46,"M","High School","Single"
"364",2339,"$40K - $60K",50,22,44,"F","Graduate","Married"
"365",2726,"Less than $40K",47,27,36,"F","Graduate","Married"
"367",1628,"$40K - $60K",36,15,36,"F","Graduate","Married"
"368",3156,"Less than $40K",47,31,34,"F","Graduate","Married"
"369",4745,"Less than $40K",46,31,41,"F","Graduate","Single"
"370",19727,"$120K +",46,25,36,"M","High School","Married"
"371",22720,"$60K - $80K",52,27,36,"M","Uneducated","Married"
"373",3751,"Less than $40K",40,30,27,"F","Graduate","Single"
"374",1594,"Less than $40K",54,35,36,"F","High School","Married"
"375",2569,"Less than $40K",55,39,43,"F","High School","Single"
"377",3104,"$40K - $60K",45,24,34,"M","High School","Married"
"378",2406,"$40K - $60K",49,32,41,"M","Graduate","Married"
"379",24571,"$80K - $120K",63,28,36,"M","Uneducated","Married"
"380",15534,"Less than $40K",40,28,36,"F","High School","Single"
"381",12301,"Less than $40K",41,29,33,"F","Graduate","Married"
"382",2846,"$80K - $120K",37,37,26,"M","Graduate","Married"
"384",7231,"$60K - $80K",55,23,36,"M","High School","Married"
"385",2324,"Less than $40K",53,37,48,"F","High School","Married"
"386",12208,"$80K - $120K",57,34,40,"M","Graduate","Married"
"388",10021,"$60K - $80K",58,25,46,"M","Graduate","Married"
"390",2027,"Less than $40K",54,37,44,"F","Graduate","Married"
"391",6363,"$60K - $80K",53,26,47,"M","Graduate","Married"
"392",3920,"Less than $40K",39,53,25,"F","College","Single"
"393",9226,"$60K - $80K",56,29,36,"M","High School","Married"
"395",1944,"$40K - $60K",59,57,46,"F","Post-Graduate","Married"
"396",9599,"$40K - $60K",42,38,36,"M","Uneducated","Single"
"397",28202,"$60K - $80K",42,38,28,"M","Graduate","Married"
"399",3805,"$120K +",55,27,49,"M","High School","Married"
"400",2733,"$80K - $120K",52,39,37,"M","Uneducated","Single"
"403",7477,"$80K - $120K",48,32,42,"M","College","Married"
"405",29963,"$120K +",48,28,36,"M","High School","Married"
"406",6509,"$40K - $60K",47,37,36,"M","Graduate","Single"
"409",34516,"$120K +",51,25,31,"M","College","Married"
"410",6347,"Less than $40K",55,44,47,"F","Graduate","Single"
"411",3106,"$40K - $60K",67,38,49,"M","Uneducated","Married"
"412",2536,"$60K - $80K",39,35,31,"M","Graduate","Married"
"413",13048,"$60K - $80K",54,24,35,"M","Post-Graduate","Single"
"415",16138,"$40K - $60K",47,33,36,"M","High School","Married"
"416",8077,"$60K - $80K",49,26,38,"M","Post-Graduate","Married"
"419",8645,"$60K - $80K",44,25,36,"M","Uneducated","Married"
"422",24487,"$80K - $120K",45,42,32,"M","Graduate","Single"
"423",2567,"$60K - $80K",63,43,36,"M","High School","Married"
"424",4131,"$80K - $120K",44,22,33,"M","Graduate","Single"
"425",10790,"Less than $40K",44,16,37,"F","College","Married"
"426",6884,"$40K - $60K",40,11,33,"M","High School","Married"
"428",29801,"$80K - $120K",42,21,30,"M","High School","Married"
"429",13219,"$120K +",54,24,43,"M","High School","Married"
"431",9478,"Less than $40K",46,41,36,"F","Graduate","Divorced"
"434",1491,"Less than $40K",50,34,36,"F","College","Divorced"
"435",9734,"$60K - $80K",55,38,46,"M","High School","Divorced"
"436",2305,"$40K - $60K",46,36,22,"F","Graduate","Married"
"437",14241,"$40K - $60K",47,44,36,"F","Uneducated","Married"
"439",23138,"$60K - $80K",40,39,34,"M","Doctorate","Divorced"
"442",5798,"Less than $40K",58,45,53,"F","Graduate","Married"
"443",6880,"$40K - $60K",48,35,36,"M","Graduate","Single"
"445",2075,"$40K - $60K",53,49,34,"F","College","Married"
"446",4589,"$80K - $120K",50,37,44,"M","Graduate","Married"
"449",6038,"$40K - $60K",56,30,47,"F","Graduate","Single"
"451",29659,"$80K - $120K",49,21,39,"M","High School","Married"
"455",5773,"Less than $40K",41,39,31,"F","High School","Single"
"457",29770,"$80K - $120K",47,42,36,"M","Uneducated","Married"
"458",5014,"Less than $40K",46,25,28,"F","Post-Graduate","Married"
"459",3445,"Less than $40K",53,31,47,"F","High School","Married"
"460",23412,"$80K - $120K",60,50,50,"M","Graduate","Married"
"461",3044,"Less than $40K",59,36,46,"F","Graduate","Single"
"463",3864,"Less than $40K",56,42,36,"M","Uneducated","Single"
"465",23090,"$60K - $80K",50,24,44,"M","Graduate","Single"
"467",14035,"$60K - $80K",63,30,49,"M","Graduate","Married"
"470",2201,"$60K - $80K",61,32,46,"M","Uneducated","Single"
"471",2061,"Less than $40K",37,60,25,"F","Post-Graduate","Married"
"473",15911,"$120K +",41,33,29,"M","Uneducated","Divorced"
"475",2783,"$60K - $80K",56,54,37,"M","Graduate","Married"
"477",5124,"$40K - $60K",40,42,36,"F","High School","Single"
"478",2880,"$40K - $60K",63,26,53,"M","Graduate","Married"
"479",5579,"$40K - $60K",58,35,46,"M","High School","Single"
"481",34516,"$80K - $120K",46,51,36,"M","Uneducated","Divorced"
"482",4394,"$40K - $60K",37,32,29,"F","Graduate","Married"
"483",18325,"$80K - $120K",46,33,35,"M","Graduate","Single"
"484",3773,"Less than $40K",46,25,37,"F","Post-Graduate","Married"
"485",21684,"$80K - $120K",41,24,29,"M","Graduate","Single"
"486",1919,"$40K - $60K",48,33,40,"F","High School","Divorced"
"487",9995,"$40K - $60K",49,38,33,"F","Graduate","Single"
"488",11910,"$80K - $120K",44,39,35,"M","Graduate","Married"
"489",2279,"Less than $40K",39,32,36,"F","College","Married"
"490",3539,"$40K - $60K",57,23,48,"M","College","Single"
"491",30579,"$80K - $120K",48,19,36,"M","High School","Married"
"492",24480,"$80K - $120K",47,32,42,"M","High School","Single"
"494",1638,"Less than $40K",54,51,40,"F","College","Married"
"495",2947,"$60K - $80K",54,53,36,"M","Graduate","Married"
"496",5738,"$80K - $120K",52,48,42,"M","High School","Married"
"498",7251,"$40K - $60K",59,36,48,"M","College","Single"
"500",2641,"Less than $40K",56,39,36,"F","College","Married"
"502",16794,"$80K - $120K",55,33,45,"M","High School","Married"
"503",9336,"$40K - $60K",48,39,41,"F","College","Divorced"
"504",2763,"Less than $40K",56,31,43,"F","College","Single"
"505",17391,"$60K - $80K",41,27,36,"M","Uneducated","Married"
"506",3198,"Less than $40K",65,44,36,"F","High School","Married"
"507",5100,"$80K - $120K",34,63,26,"M","Post-Graduate","Single"
"508",3955,"$60K - $80K",56,25,39,"M","Post-Graduate","Married"
"509",3140,"Less than $40K",62,41,48,"F","High School","Married"
"511",2264,"Less than $40K",38,28,32,"F","Uneducated","Single"
"513",6385,"$60K - $80K",58,47,45,"M","High School","Single"
"514",2375,"$40K - $60K",41,28,31,"F","Graduate","Single"
"515",1963,"$60K - $80K",33,37,13,"M","Graduate","Married"
"516",4256,"Less than $40K",47,29,37,"F","College","Single"
"517",5097,"Less than $40K",56,45,49,"F","Graduate","Married"
"518",3228,"$60K - $80K",51,33,45,"M","Graduate","Single"
"522",2585,"Less than $40K",26,40,13,"M","Graduate","Single"
"524",34516,"$80K - $120K",46,31,42,"M","High School","Single"
"525",34516,"$120K +",48,37,31,"M","High School","Married"
"526",5504,"$60K - $80K",42,32,32,"M","Uneducated","Divorced"
"527",10021,"$80K - $120K",37,40,28,"M","Graduate","Married"
"529",19853,"$40K - $60K",50,55,44,"M","High School","Single"
"530",4969,"$40K - $60K",41,32,31,"F","High School","Single"
"531",3117,"Less than $40K",48,37,40,"F","Graduate","Divorced"
"532",21526,"$80K - $120K",46,37,41,"M","College","Single"
"533",5504,"$60K - $80K",61,38,51,"M","High School","Single"
"537",7319,"$120K +",51,29,40,"M","High School","Married"
"540",2053,"$60K - $80K",47,28,37,"M","Graduate","Married"
"541",12804,"$40K - $60K",41,37,32,"M","High School","Married"
"542",26443,"$80K - $120K",48,36,36,"M","College","Married"
"543",3125,"Less than $40K",50,46,36,"F","Graduate","Single"
"544",4930,"Less than $40K",56,53,48,"F","Post-Graduate","Married"
"545",9476,"Less than $40K",39,27,36,"F","College","Single"
"546",11722,"$80K - $120K",47,35,37,"M","Graduate","Married"
"547",13301,"$120K +",44,50,33,"M","Graduate","Single"
"554",19324,"$60K - $80K",48,50,29,"M","College","Married"
"555",5331,"$40K - $60K",44,39,34,"M","Graduate","Single"
"557",17625,"$60K - $80K",45,39,30,"M","Graduate","Single"
"558",17438,"$80K - $120K",39,37,34,"M","Graduate","Married"
"561",3290,"$40K - $60K",26,54,13,"M","Graduate","Single"
"562",2402,"Less than $40K",60,53,53,"M","Uneducated","Single"
"563",9256,"Less than $40K",54,37,42,"F","Doctorate","Single"
"564",3674,"$60K - $80K",62,48,36,"M","Graduate","Married"
"566",1638,"$40K - $60K",59,44,48,"M","Graduate","Single"
"567",4335,"$60K - $80K",46,36,38,"M","Graduate","Single"
"568",3233,"$60K - $80K",44,29,32,"M","High School","Single"
"570",34516,"$120K +",43,45,24,"M","Uneducated","Divorced"
"571",19802,"$120K +",57,58,38,"M","Uneducated","Married"
"575",10953,"$40K - $60K",57,29,48,"F","Graduate","Single"
"576",11338,"$60K - $80K",44,24,28,"M","Graduate","Married"
"577",5544,"Less than $40K",47,38,35,"F","Doctorate","Married"
"578",19665,"$60K - $80K",47,58,36,"M","Doctorate","Married"
"579",2927,"Less than $40K",50,26,43,"F","High School","Married"
"580",5146,"$40K - $60K",53,44,33,"F","College","Married"
"583",2974,"Less than $40K",53,45,36,"F","High School","Married"
"585",2736,"$60K - $80K",57,25,38,"M","High School","Married"
"586",1438.3,"$80K - $120K",50,40,37,"M","Graduate","Married"
"588",34516,"$120K +",52,50,44,"M","Graduate","Single"
"589",1976,"Less than $40K",60,43,36,"M","Graduate","Married"
"590",8714,"$80K - $120K",49,38,40,"M","Uneducated","Married"
"591",8693,"Less than $40K",46,45,41,"F","Doctorate","Divorced"
"592",9247,"$80K - $120K",42,30,36,"M","Uneducated","Married"
"593",7717,"Less than $40K",45,37,33,"M","High School","Married"
"596",21740,"$80K - $120K",61,54,48,"M","Uneducated","Single"
"601",11710,"$80K - $120K",45,50,40,"M","Doctorate","Married"
"602",2278,"$40K - $60K",57,45,45,"F","High School","Married"
"603",4048,"$40K - $60K",31,45,22,"M","Uneducated","Married"
"604",3663,"Less than $40K",34,35,24,"F","Graduate","Married"
"607",1717,"Less than $40K",44,29,36,"F","Graduate","Married"
"608",16813,"$80K - $120K",50,46,45,"M","Graduate","Married"
"609",16434,"$80K - $120K",33,37,25,"M","Post-Graduate","Married"
"610",21872,"$60K - $80K",50,31,45,"M","Graduate","Single"
"611",15897,"$80K - $120K",51,43,41,"M","High School","Married"
"613",7361,"Less than $40K",55,34,29,"F","Graduate","Single"
"614",1438.3,"Less than $40K",26,37,36,"M","College","Single"
"615",8628,"Less than $40K",42,58,33,"F","Graduate","Married"
"616",18750,"$80K - $120K",54,36,44,"M","College","Married"
"618",2961,"$40K - $60K",65,57,56,"F","Graduate","Married"
"620",8308,"$60K - $80K",58,37,40,"M","High School","Married"
"621",3249,"$40K - $60K",39,36,28,"F","Post-Graduate","Married"
"622",2981,"$120K +",52,30,36,"M","High School","Married"
"623",8829,"Less than $40K",45,45,31,"F","Graduate","Married"
"626",16952,"$120K +",57,61,51,"M","Post-Graduate","Married"
"631",12240,"$40K - $60K",51,26,40,"M","Graduate","Married"
"632",5120,"$80K - $120K",37,32,21,"M","Graduate","Married"
"633",3124,"Less than $40K",36,41,24,"F","Graduate","Married"
"634",11261,"Less than $40K",51,26,36,"F","High School","Married"
